rainfall(mm),avgT,LowT,HighT,seoulDiag,seoulDadd,under_treatment,cured,dead,sus_patient,sus_patient_checking,sus_pat_negative
16.6,6.7,4.7,9.4,44,0,44,0,0,6878,1463,5415
0,6.4,2.8,10.4,49,0,49,0,0,8238,2279,5959
0,6.1,1.3,12.5,59,0,59,0,0,8238,2279,5959
3.9,4.5,3.6,5.9,65,0,65,0,0,10563,2810,7753
0.5,7.7,4.5,13,77,0,77,0,0,12265,3672,8593
0.2,5.8,3.2,10.1,86,0,86,0,0,13194,3932,9262
11.8,6.4,3.2,10.8,156,0,126,30,0,33532,3634,29898
0,3.8,0,8.3,205,0,168,37,0,35278,3759,31519
0,6.8,0.2,13.3,219,0,181,38,0,35278,3759,31519
0.5,4.9,-0.1,8.7,231,0,191,40,0,40287,3910,36377
1.8,14.8,8.1,20.6,361,0,280,81,0,63842,4081,59761
2,11.9,6.7,15.8,376,0,288,88,0,65952,4131,61821
0,7.7,4.5,12.8,391,0,298,93,0,67478,4232,63246
0,8.7,1.3,16.1,413,0,320,93,0,68340,4312,64028
0,10.2,4.3,16.9,434,0,342,92,0,69343,4429,64914
0,13,7.6,19.6,613,0,383,228,2,94036,5407,88629
0,13.2,7.2,20.2,619,0,378,239,2,96012,5348,90664
0,16,8.9,23.8,619,0,367,250,2,96988,5318,91670
6.5,12.5,10.4,15.4,621,0,351,268,2,98561,5368,93193
0,13.5,8.5,19.6,623,0,347,274,2,100643,5211,95432
10.3,12.3,9.5,15.5,624,0,334,288,2,101675,5271,96404
0.1,10,7.6,13.1,624,0,318,304,2,102531,5259,97272
0,7.4,4.8,10.4,626,0,309,315,2,107115,7768,99347
0,6,4.1,8.3,628,2,304,322,2,105582,5289,100293
0,7.9,2.9,12.8,628,0,284,342,2,110134,7860,102274
0,9.9,4.1,14.3,628,0,264,362,2,108856,5363,103493
0,13.1,9.9,17.1,629,1,244,383,2,109708,5340,104368
0,12.3,6.8,19,629,0,239,388,2,110737,5538,105199
0,12.9,8.7,18.3,629,0,234,393,2,111108,5589,105519
0,16,13.1,19.3,637,0,146,489,2,118241,5204,113037
0,19.4,11.1,27.6,637,0,141,494,2,119423,5338,114085
0,20.7,14.9,26.5,637,0,127,508,2,120284,5295,114989
2.3,19.9,14.3,27.3,648,11,126,520,2,124842,8002,116840
24.4,14.2,12.7,16.8,658,10,120,536,2,123201,5468,117733
1.3,14.4,12.8,16.6,669,11,126,541,2,123889,5726,118163
3.4,16.5,12.4,22,690,21,141,547,2,124530,5957,118573
0.7,14.3,10.5,18.9,703,13,147,554,2,126464,6296,120168
0,16.1,10.2,21.8,708,5,147,558,3,129076,6821,122255
0,19.3,12.4,25.4,714,6,146,564,4,133600,7612,125988
12,16.1,14.1,20.2,725,11,152,569,4,138788,8297,130491
2.5,16.7,15,20.3,731,6,153,574,4,143595,8241,135354
0,19.1,14.6,24.9,735,4,156,575,4,147613,8437,139176
29.8,19.1,13.2,26.8,736,1,153,579,4,148787,8667,140120
19,13,10.1,17.1,750,14,159,587,4,152205,8590,143615
0,14.4,9.2,20.1,753,3,157,592,4,155822,8265,147557
0,17.4,10.9,22.9,756,3,156,596,4,159705,8385,151320
0,18.5,14.8,22.7,759,3,156,599,4,162845,8409,154436
0,20.1,16.6,25,762,3,154,604,4,165744,8598,157146
14.5,17.1,14.3,20.2,768,6,160,604,4,168055,8892,159163
0,16.6,13.7,21.3,776,8,165,607,4,168751,8850,159901
1.5,16.2,12.7,22.9,792,16,174,614,4,170513,8805,161708
0,17.4,11.8,23.9,807,15,185,618,4,173701,8721,164980
0,18.7,14.2,23.4,828,21,203,621,4,177473,8024,169449
